isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
,ilustracja boskiej komedii dantego : czyściec : pieśń xxii : wersy 118-129,"Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,3x24,7x2,3 cm.",Czyściec,,,,"Data wg adnot. na rew.: ""4/11 42"". Na rew. adnot. ołówkiem i flamastrem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxiii : wersy 16-75,"Mrożewski, Stefan (1894-1975)",,,[1942],1 matryca graficzna,"31,4x24,7x2,3 cm.",Czyściec,,,,"Data wg adnot. na rew.: ""18/11 42"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154,"Mrożewski, Stefan (1894-1975)",,,[1942-1943],1 matryca graficzna,"31,5x24,6x2,3 cm.",Anioły,,,,"Na rew. adnot. ołówkiem, kredką i flamastrem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139,"Mrożewski, Stefan (1894-1975)",,,[1942-1943],1 matryca graficzna,"31,6x24,5x2,3 cm.",Czyściec,,,,"Na rew. adnot. ołówkiem, kredką i flamastrem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń xxvi : wersy 4-6, 28-51","Mrożewski, Stefan (1894-1975)",,,[1942-1943],1 matryca graficzna,"31,8x24,7x2,3 cm.",Czyściec,,,,"Na rew. adnot. ołówkiem, kredką i flamastrem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90","Mrożewski, Stefan (1894-1975)",,,[1943],1 matryca graficzna,"31,4x24,8x2,3 cm.",Czyściec,,,,"Data wg adnot. na rew.: ""30/III 43"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63,"Mrożewski, Stefan (1894-1975)",,,[1943],1 matryca graficzna,"31,6x24,8x2,3 cm.",Czyściec,,,,"Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132,"Mrożewski, Stefan (1894-1975)",,,[1943],1 matryca graficzna,"31,8x24,8x2,3 cm.",Anioły,,,,"Data wg. adnot. na rew.: ""26/5 1943"". Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72,"Mrożewski, Stefan (1894-1975)",,,[1943],1 matryca graficzna,"31,9x24,7x2,3 cm.",Anioły,,,,"Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102,"Mrożewski, Stefan (1894-1975)",,,[1943],1 matryca graficzna,"31,7x24,9x2,3 cm.",Czyściec,,,,"Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108,"Mrożewski, Stefan (1894-1975)",,,[1943],1 matryca graficzna,"31,7x24,8x2,3 cm.",Czyściec,,,,"Data wg adnot. na rew.: ""23/7/43"" Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114,"Mrożewski, Stefan (1894-1975)",,,1943,1 matryca graficzna,"31,7x24,8x2,3 cm.",Czyściec,,,,"Na rew. adnot. kredką i wyryty tekst: ""W dniu 30 lipca 1943 roku wykonałem po ""Piekle"" drugą część ""Boskiej Komedji""...""  Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"dantes the divine comedy, paradiso","Mrożewski, Stefan (1894-1975)",,,1969,1 matryca graficzna,"33,8x25,2x2,3 cm.",Poeci włoscy,,,,Sygn. pod kompoz.
,ilustracja boskiej komedii dantego : raj : pieśń : wersy 46-66,"Mrożewski, Stefan (1894-1975)",,,[1943-1949],1 matryca graficzna,"32,2x25,4x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. ołówkiem i kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń ii : wersy 112-148,"Mrożewski, Stefan (1894-1975)",,,[1943-1949],1 matryca graficzna,"32,4x25,3x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń iii : wersy 1-24,"Mrożewski, Stefan (1894-1975)",,,[1943-1949],1 matryca graficzna,"31,8x24,5x2,3 cm.",Raj,,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń iv : wersy 28-63,"Mrożewski, Stefan (1894-1975)",,,[1943-1949],1 matryca graficzna,"32,4x25,5x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń v : wersy 85-90,97-120 ; portret inż. louisa kalffa eindhoven","Mrożewski, Stefan (1894-1975)",,,[1949],1 matryca graficzna,"31,8x25x2,3 cm.",Poeci włoscy,,,,"Na rew. portret  inż. Kalffa z Eindhoven, bibliogr.: A. Mrożewski, Stefan Mrożewski: twórczość graficzna 1945-1951 (maszynopis w zbiorach ZZI), s. 13. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń vi : wersy 10, 127-142 pieśń v: wersy 130-139","Mrożewski, Stefan (1894-1975)",,,1952,1 matryca graficzna,"32,4x25,1x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45","Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,4x25,3x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń viii : wersy 1-84,"Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,4x25,3x2,3 cm.",Anioły,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96","Mrożewski, Stefan (1894-1975)",,,[1952],1 matryca graficzna,"32,5x25,3x2,3 cm.",Anioły,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń x : wersy 64-138,"Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,4x25,3x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39","Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,4x25,4x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145","Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,3x25,4x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xiii : wersy 1-30,"Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,3x25,5x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xiv : wersy 82-87, 97-126","Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,3x25,4x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xv : wersy 46-69,"Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,3x25,5x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xvi : wersy 22-27,"Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"31,7x24,9x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką i wycięte: ""Raj - P.XVI - BK"". Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xvii : wersy 112-142,"Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"31,7x24,9x2,3 cm.",Poeci włoscy,,,,"Na rew. adnot. kredką i flamastrem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xviii : wersy 22-51,"Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"32,7x25x2,3 cm.",Raj,,,,"Na rew. adnot. ołówkiem, kredką i flamastrem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xix : wersy 1-21, 34-39","Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"31,6x25x2,3 cm.",Anioły,,,,"Na rew. adnot. kredką i flamastrem, m.in.: ""28/10[...]"". Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72,"Mrożewski, Stefan (1894-1975)",,,[1952-1968],1 matryca graficzna,"31,7x25x2,3 cm.",Raj,,,,"Na rew. adnot. kredką i flamastrem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxi : wersy 25-72, 103-126","Mrożewski, Stefan (1894-1975)",,,[1967-1969],1 matryca graficzna,"31,6x24,9x2,3 cm.",Poeci włoscy,,,,"Data wg adnot. na rew.: ""10/I.1967 / 13/I.1969"". Na rew. adnot. kredką i flamastrem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xxii : wersy 22-51,"Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x24,9x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""28/I 1969 / 11/II 69"". Na rew. adnot. kredką i flamastrem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxiii : wersy 16-45, 70-126","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,6x25x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""17/II 1969 / 3/III 1969"". Na rew. adnot. flamastrem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45,"Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,5x24,9x2,3 cm.",Poeci włoscy,,,,"Data wg adnot. na rew.: ""9.3.69 20.3.69"". Na rew. adnot. flamastrem, kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x24,9x2,3 cm.",Poeci włoscy,,,,"Data wg adnot. na rew.: ""21/3 1969 2/4 1969"". Na rew. adnot. flamastrem, kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxvi : wersy 1-66, 82-96","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x24,9x2,3 cm.",Poeci włoscy,,,,"Data wg adnot. na rew.: ""7/4.69 18/4.69"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,6x24,9x2,3 cm.",Poeci włoscy,,,,"Data wg adnot. na rew.: ""21/4 69 1/5 1969"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,6x25x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""8/5 1969 6/6 [...]"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x25x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""[...] 1/6 1969"". Na rew. adnot. kredką, flamastrem i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
